country,talent,infrastructure,operating environment,research,development,government strategy,commercial,total score,region,income group,political regime,ai preparedness index,gdp per capita (current us$),gdp per capita growth (annual %),real gdp growth (annual change in %),innovation and economic integration,digitial infrastructure,individuals using the internet (% of population),secure internet servers (per 1 million people),regulation and ethics,human capital and labor market policies
united states of america,100.0,94.02,64.56,100.0,100.0,77.39,100.0,100.0,Americas,High,Liberal democracy,0.5485714285714286,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.11857142857142858,0.13,89.2,5451.0,0.15857142857142859,0.13571428571428573
china,16.51,100.0,91.57,71.42,79.97,94.87,44.02,62.92,Asia-Pacific,Upper middle,Closed autocracy,0.64,12614.0,5.36,5.2,0.15,0.19,77.5,1508.0,0.15,0.15
united kingdom,39.65,71.43,74.65,36.5,25.03,82.82,18.91,40.93,Europe,High,Liberal democracy,0.73,49464.0,-0.48,0.3,0.16,0.18,96.3,47453.0,0.21,0.17
canada,31.28,77.05,93.94,30.67,25.78,100.0,14.88,40.19,Americas,High,Liberal democracy,0.71,53431.0,-1.68,1.2,0.16,0.17,94.0,42550.0,0.21,0.17
israel,35.76,67.58,82.44,32.63,27.96,43.91,27.33,39.89,Middle East,High,Liberal democracy,0.73,52642.0,0.33,2.0,0.19,0.17,87.0,13047.0,0.19,0.17
singapore,39.38,84.3,43.15,37.67,22.55,79.82,15.07,38.67,Asia-Pacific,High,Electoral democracy,0.8,84734.0,-3.72,1.1,0.18,0.21,94.3,228648.0,0.22,0.2
south korea,14.54,85.23,68.86,26.66,77.25,87.5,5.41,38.6,Asia-Pacific,High,Liberal democracy,0.6181818181818183,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.14,0.18,87.0,8083.0,0.17,0.15272727272727274
the netherlands,33.83,81.99,88.05,25.54,30.17,62.35,4.97,36.35,Europe,High,Liberal democracy,0.6711538461538461,49747.68421052631,-0.1713157894736843,1.0973684210526315,0.15653846153846154,0.17,92.85,49768.0,0.18230769230769228,0.15846153846153846
germany,27.63,77.22,70.22,35.84,24.79,84.65,8.29,36.04,Europe,High,Liberal democracy,0.75,54343.0,0.35,-0.3,0.18,0.19,92.5,139985.0,0.2,0.18
france,28.32,77.15,80.02,25.48,21.44,91.2,7.65,34.42,Europe,High,Liberal democracy,0.7,44691.0,0.61,1.1,0.17,0.18,86.8,52083.0,0.18,0.16
